"","date","RAAPL","RM.RF","SMB","HML","RF","RAAPL.RF"
"115",1981-06-16,-0.0194925688869102,-1.16,0.05,1.36,0.061,-0.0804925688869102
"116",1981-06-17,-0.0158723332192865,0.68,-0.69,-0.23,0.061,-0.0768723332192865
"117",1981-06-18,-0.00400776231336771,-1.21,0.54,0.26,0.061,-0.0650077623133677
"118",1981-06-19,-0.028513296767459,0.38,-0.21,-0.35,0.061,-0.089513296767459
"119",1981-06-22,-0.0379043893216479,-0.21,-0.1,0.26,0.061,-0.0989043893216479
"120",1981-06-23,0.0170206491208055,0.93,-0.71,-0.16,0.061,-0.0439793508791945
"121",1981-06-24,-0.0256408594544726,-0.55,0.53,0.18,0.061,-0.0866408594544726
"122",1981-06-25,0.0214127796570535,0.1,-0.06,-0.09,0.061,-0.0395872203429465
"123",1981-06-26,-0.0127925693233864,-0.23,0.24,-0.24,0.061,-0.0737925693233864
"124",1981-06-29,-0.0349358636997054,-0.68,-0.12,0.36,0.061,-0.0959358636997054
"125",1981-06-30,-0.0785657303731263,-0.65,-0.2,0.03,0.061,-0.139565730373126
"126",1981-07-01,-0.00966132539817051,-0.98,0.33,0.01,0.056,-0.0656613253981705
"127",1981-07-02,0,-0.95,0.03,0.56,0.056,-0.056
"128",1981-07-06,-0.0345692020887322,-1.12,-0.48,0.84,0.056,-0.0905692020887322
"129",1981-07-07,0.00999945611810125,0.32,-0.79,-0.13,0.056,-0.0460005438818988
"130",1981-07-08,0.0390269550776359,0.09,-0.12,-0.04,0.056,-0.0169730449223641
"131",1981-07-09,-0.0796390873725997,0.66,-0.17,-0.62,0.056,-0.1356390873726
"132",1981-07-10,-0.0809112289430403,0.1,0.23,-0.12,0.056,-0.13691122894304
"133",1981-07-13,0.0222316553615968,0.12,-0.19,0.29,0.056,-0.0337683446384032
"134",1981-07-14,0.0430144830694752,-0.12,-0.35,-0.32,0.056,-0.0129855169305248
"135",1981-07-15,0.0259737935577457,0.38,0.12,-0.22,0.056,-0.0300262064422543
"136",1981-07-16,0.0253161997783964,0.14,0.17,-0.28,0.056,-0.0306838002216036
"137",1981-07-17,0.0343993057461848,0.29,0.03,-0.25,0.056,-0.0216006942538152
"138",1981-07-20,-0.0700242085703586,-1.59,0.24,0.34,0.056,-0.126024208570359
"139",1981-07-21,-0.00519447836281763,-0.5,-0.54,-0.07,0.056,-0.0611944783628176
"140",1981-07-22,-0.059004270790048,-0.88,0.35,0.3,0.056,-0.115004270790048
"141",1981-07-23,0.0272576799973186,0.12,-0.34,-0.23,0.056,-0.0287423200026814
