HDI_group;Country;HDI;LifExp;Educ;GNIpc;Pop;PopUrbRat;PopL5;PopB1564;PopG65;DepRatB014;DepRatG65;FertRat;EmpRat;LFPRat;EmpAgrRat;EmpServRat;UnempRat;UnempRatB1524;NINIsRatB1524;HiSkLoSkEmpRat
3;Lebanon;0.7301;78.8750;8.7000;11136.2495;6.8594;88.6000;0.6166;4.5891;0.4803;39.0060;10.4670;2.0900;44.4000;47.3000;12.1000;65.6000;6.2000;17.4000;;
3;Botswana;0.7278;69.2750;9.3300;15951.3304;2.2541;69.4000;0.2722;1.3899;0.0952;55.3210;6.8500;2.8944;59.3000;72.3000;23.0000;59.0000;17.9000;37.1000;;0.5909
3;Saint Vincent and Grenadines;0.7279;72.4150;8.6165;11746.4462;0.1102;52.2000;0.0080;0.0748;0.0106;33.2130;14.1300;1.9019;54.8000;68.3000;13.5000;66.0000;19.8000;41.4000;;
3;Jamaica;0.7257;74.3680;9.7969;7931.5163;2.9348;55.7000;0.2363;1.9797;0.2582;35.2100;13.0410;1.9910;60.7000;67.1000;16.6000;67.8000;9.5000;25.6000;;1.5854
3;Venezuela;0.7258;72.1280;10.3234;9069.6979;28.8871;88.2000;2.5454;18.7958;2.0992;42.5210;11.1690;2.2830;57.0000;62.2000;7.2000;71.7000;8.4000;17.0000;;46.8367
3;Dominica;0.7238;78.1190;7.8000;9245.1601;0.0716;70.5000;;;;;;;;;;;;;;
3;Fiji;0.7237;67.3410;10.8840;9110.4416;0.8835;56.2000;0.0907;0.5746;0.0481;45.3780;8.3790;2.7874;54.9000;57.3000;39.5000;47.5000;4.2000;14.6000;20.0900;1.6923
3;Paraguay;0.7243;74.1310;8.4504;11719.9590;6.9561;61.6000;0.6926;4.4609;0.4473;45.9080;10.0270;2.4455;67.3000;70.6000;20.0000;59.9000;4.7000;11.1000;18.0600;0.8746
3;Suriname;0.7237;71.5700;9.1254;11932.9927;0.5760;66.1000;0.0528;0.3797;0.0398;41.2150;10.4760;2.4298;47.7000;51.6000;7.0000;68.3000;7.6000;15.9000;;3.3333
3;Jordan;0.7234;74.4050;10.4520;8267.8055;9.9653;91.0000;1.1160;6.1693;0.3833;55.3170;6.2130;2.7723;33.4000;39.3000;3.5000;71.8000;15.0000;37.2000;;
3;Belize;0.7202;74.4960;9.7958;7135.9697;0.3831;45.7000;0.0393;0.2489;0.0181;46.5960;7.2890;2.3200;60.9000;67.2000;17.6000;67.8000;9.4000;19.8000;27.3400;0.7742
3;Maldives;0.7187;78.6270;6.8180;12549.2551;0.5157;39.8000;0.0369;0.3927;0.0191;26.4590;4.8630;1.8800;61.4000;65.4000;9.0000;72.4000;6.1000;17.3000;23.4900;3.4000
3;Tonga;0.7174;70.8010;11.2100;5782.5682;0.1032;23.1000;0.0123;0.0605;0.0061;60.4050;10.1550;3.5763;58.9000;59.5000;30.5000;39.8000;1.0000;3.4000;;
3;Philippines;0.7119;71.0950;9.3931;9539.6979;106.6514;46.9000;11.0353;68.1656;5.4633;48.4450;8.0150;2.5800;58.3000;59.8000;25.2000;56.5000;2.5000;6.8000;21.7000;0.9487
3;Moldova;0.7115;71.8080;11.5628;6833.1080;4.0519;42.6000;0.2102;2.9446;0.4647;21.8250;15.7830;1.2552;40.6000;42.1000;32.2000;51.2000;3.4000;10.0000;27.8300;2.5814
3;Turkmenistan;0.7101;68.0730;9.7800;16407.4705;5.8509;51.6000;0.6962;3.7885;0.2590;47.6010;6.8360;2.7850;62.7000;65.1000;22.8000;43.5000;3.8000;7.4000;;
3;Uzbekistan;0.7105;71.5730;11.5250;6461.8425;32.4762;50.5000;3.4069;21.7249;1.4352;42.8820;6.6060;2.4300;62.1000;65.5000;33.4000;36.3000;5.2000;9.7000;;
3;Libya;0.7076;72.7240;7.5600;11684.7334;6.6786;80.1000;0.6422;4.4939;0.2933;42.0860;6.5270;2.2500;43.3000;52.4000;7.9000;65.5000;17.3000;41.9000;;
3;Indonesia;0.7069;71.5090;7.9762;11255.7811;267.6705;55.3000;24.3503;180.9229;15.6779;39.2820;8.6660;2.3195;64.2000;67.1000;30.5000;47.5000;4.3000;15.8000;21.4500;0.6275
3;Samoa;0.7068;73.1870;10.5949;5884.8384;0.1961;18.2000;0.0279;0.1116;0.0094;67.3720;8.4400;3.9029;28.8000;31.4000;5.2000;80.1000;8.3000;17.9000;37.9300;2.7500
3;South Africa;0.7049;63.8570;10.2406;11756.2984;57.7925;66.4000;5.7963;37.9133;3.0734;44.3270;8.1060;2.4139;40.6000;55.5000;5.2000;71.6000;27.0000;52.9000;31.5600;0.7912
3;Bolivia;0.7028;71.2390;9.0175;6849.2019;11.3531;69.4000;1.1916;7.0088;0.8165;50.3340;11.6500;2.7500;65.7000;67.9000;28.1000;50.2000;3.3000;7.4000;11.6400;2.1500
3;Gabon;0.7016;66.1870;8.3201;15794.0782;2.1193;89.4000;0.3105;1.2591;0.0755;62.3220;5.9990;4.0000;41.9000;52.1000;37.6000;52.5000;19.5000;35.1000;;
3;Egypt;0.6997;71.8250;7.3260;10743.8060;98.4236;42.7000;12.9724;60.0103;5.1473;55.4340;8.5770;3.3300;42.6000;48.1000;24.9000;48.6000;11.4000;32.6000;26.8700;3.5674
2;Marshall Islands;0.6976;73.8610;10.8857;4633.4778;0.0584;77.0000;;;;;;;;;;;;;;
2;Viet Nam;0.6927;75.3170;8.2000;6220.2658;95.5460;35.9000;7.8309;66.4545;6.9509;33.3170;10.4600;2.0556;76.0000;77.4000;39.8000;34.4000;1.9000;7.0000;9.7300;0.3130
2;State of Palestine;0.6900;73.8950;9.1046;5313.8331;4.8630;76.2000;0.6900;2.8166;0.1524;67.2440;5.4100;3.6677;31.7000;45.4000;6.7000;62.3000;30.2000;46.8000;33.4500;1.3353
