RENTAB;AT;VT;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
0.129999995;79.04362265;93.69079655;0.230000004;1.49000001;0.200000003;2.49000001;1.470000029;0.319999993;0.280000001;0.460000008;0.579999983;0.300000012
0.189999998;125.2109511;184.9341453;0.150000006;2.470000029;0.159999996;1.330000043;0.540000021;0.280000001;0.419999987;0.360000014;0.310000002;0.159999996
0.219999999;76.70755104;62.80281306;0.540000021;0.639999986;0.159999996;0.930000007;0.829999983;0.129999995;0.039999999;0.159999996;0.449999988;0.25999999
0.170000002;131.6306789;217.0223003;0.49000001;3.180000067;0.200000003;1.090000033;0.839999974;0.430000007;0.129999995;0.74000001;0.5;0.25999999
0.119999997;50.90698107;61.55923522;0.389999986;1.549999952;0.079999998;1.090000033;0.5;0.230000004;0.370000005;0.5;0.649999976;0.079999998
0.209999993;97.51438677;117.9192397;0.109999999;1.559999943;0.340000004;1.74000001;1.100000024;0.300000012;0.200000003;0.5;0.25;0.340000004
0.119999997;49.40245382;63.43400635;0.189999998;1.74000001;0.25;1.889999986;1;0.340000004;0.310000002;0.379999995;0.800000012;0.25
0.150000006;257.237605;295.8936376;0.349999994;1.389999986;0.159999996;1.379999995;0.730000019;0.479999989;0.219999999;0.620000005;0.460000008;0.25
0.100000001;67.35654238;82.26945095;0.389999986;1.600000024;0.090000004;1.570000052;0.939999998;0.25999999;0.300000012;0.419999987;1.029999971;0.119999997
0.079999998;90.92183932;111.0521641;0.5;1.580000043;0.039999999;1.279999971;0.74000001;0.25;0.310000002;0.330000013;1.94E-39;0.039999999
0.310000002;66.02279474;86.4875124;0.409999996;1.879999995;0.109999999;1.100000024;0.660000026;0.170000002;0.310000002;0.25;0.25;0.119999997
0.209999993;68.71723348;79.83804254;0.079999998;1.429999948;0.330000013;1.49000001;1.059999943;0.400000006;0.170000002;0.709999979;0.610000014;0.360000014
0.219999999;46.06253472;55.70110476;0.159999996;1.549999952;0.370000005;1.379999995;0.970000029;0.419999987;0.170000002;0.620000005;0.25;0.370000005
0.200000003;47.94238059;46.99305875;0.129999995;0.959999979;0.479999989;1;0.610000014;0.680000007;0.129999995;0.970000029;0.600000024;0.479999989
0.109999999;47.46534639;49.40245382;0.230000004;1.090000033;0.150000006;1.230000019;0.920000017;0.400000006;0.150000006;0.639999986;0.800000012;0.180000007
0.379999995;105.636066;174.164429;0.270000011;3.130000114;0.200000003;1.389999986;0.330000013;0.209999993;0.379999995;0.319999993;0.389999986;0.25
0.230000004;144.0268572;301.8710798;2.70E-39;5.440000057;0.239999995;1.289999962;0.239999995;0.270000011;0.5;0.379999995;0.360000014;0.239999995
0.319999993;74.44048468;111.0521641;0.109999999;2.50999999;0.090000004;1.340000033;0.860000014;0.090000004;0.310000002;0.129999995;0.529999971;0.090000004
0.129999995;89.12142548;106.6977506;0.550000012;1.50999999;0.050000001;1.139999986;0.439999998;0.239999995;0.419999987;0.400000006;2.35E-39;0.059999999
0.289999992;130.320902;91.83559623;1.70E-39;0.449999988;0.600000024;1.210000038;1.179999948;0.569999993;0.01;0.579999983;0.209999993;0.600000024
0.090000004;81.45087643;145.4743844;0.280000001;3.819999933;0.090000004;1.279999971;0.340000004;0.340000004;0.460000008;0.5;1.519999981;0.100000001
-0.5;34.46691788;57.39746799;1.779999971;3.210000038;-1.279999971;1.059999943;0.5;0.159999996;0.370000005;0.300000012;1.76E-39;-1.279999971
0.170000002;52.45732795;72.24045516;0.280000001;2.069999933;0.109999999;1.360000014;0.670000017;0.25999999;0.370000005;0.319999993;0.219999999;0.119999997
-0.039999999;74.44048468;116.7459526;0.460000008;2.789999962;-0.039999999;1.110000014;0.720000029;0.189999998;0.280000001;0.319999993;1.88E-39;-0.039999999
0.25999999;47.94238059;69.40783595;1.53E-39;2.339999914;0.230000004;1.830000043;1.200000048;0.209999993;0.270000011;0.25999999;0.529999971;0.230000004
0.209999993;79.83804254;82.26945095;0.200000003;1.070000052;0.300000012;2.720000029;1.769999981;0.239999995;0.239999995;0.360000014;0.419999987;0.400000006
0.150000006;78.25714487;80.64040821;0.660000026;1.080000043;0.209999993;0.579999983;0.289999992;0.699999988;0.150000006;1.070000052;1.57E-39;0.300000012
0.230000004;83.9314025;125.2109511;0.109999999;2.460000038;0.07;0.879999995;0.879999995;0.170000002;2.00E-39;0.219999999;0.670000017;0.07
0.200000003;56.26092305;66.68631832;0.330000013;1.470000029;0.280000001;0.910000026;0.769999981;0.529999971;0.07;1.159999967;0.209999993;0.330000013
0.189999998;64.71545704;74.44048468;0.300000012;1.379999995;0.140000001;1.279999971;0.49000001;0.25;0.419999987;0.330000013;0.519999981;0.159999996
0.079999998;129.0242193;141.174937;0.349999994;1.210000038;0.100000001;2.359999895;1.440000057;0.310000002;0.270000011;0.50999999;1.080000043;0.180000007
0.189999998;230.4421966;262.4341443;0.189999998;1.360000014;0.140000001;1.350000024;0.959999979;0.219999999;0.219999999;0.360000014;0.400000006;0.150000006
0.200000003;129.0242193;117.9192397;0.209999993;0.810000002;0.349999994;3.980000019;2.630000114;0.209999993;0.25999999;0.340000004;0.50999999;0.629999995
0.140000001;123.9651121;146.9363899;0.300000012;1.480000019;0.200000003;0.540000021;0.25999999;0.720000029;0.090000004;0.74000001;0.529999971;0.270000011
0.039999999;49.89895626;64.71545704;0.180000007;1.830000043;0.07;1.570000052;1.080000043;0.280000001;0.230000004;0.540000021;4.210000038;0.07
0.100000001;323.7592583;317.3484016;0.129999995;0.959999979;0.119999997;1.399999976;0.569999993;0.119999997;0.280000001;0.209999993;0.430000007;0.150000006
-0.090000004;59.14546534;52.45732795;0.680000007;0.769999981;-0.219999999;1.450000048;0.600000024;0.620000005;0.189999998;0.709999979;2.09E-39;-0.460000008
0.100000001;278.6621495;292.9493796;0.230000004;1.139999986;0.140000001;1.559999943;0.829999983;0.330000013;0.230000004;0.519999981;0.119999997;0.180000007
0.200000003;83.0962917;120.3013641;0.050000001;2.349999905;0.119999997;1.419999957;0.800000012;0.039999999;0.370000005;0.07;0.330000013;0.129999995
0.129999995;210.6082778;239.8467119;0.219999999;1.370000005;0.129999995;1.730000019;0.75;0.25999999;0.409999996;0.519999981;0.529999971;0.170000002
0.079999998;47.94238059;59.14546534;0.189999998;1.639999986;0.140000001;1.570000052;0.74000001;0.170000002;0.340000004;0.270000011;0.910000026;0.140000001
