obs,PRSAL,YER,POPACT,PCS,PCR,HDYR,FWR,CPE,NFWR,HCOCR,URX,ERX,XTR,XTW,REER,MTR,DMTR,MRP,CIR,M2PIR,HHCR,ICC,PIR,QT,LTR,UCAP,PRCPE,CPI,YER_FTEE,PUCPE,CPICORE,ULC,TIPOIVA
2003Q1,11530.6,87.671473,19429.3715961403,2305768.57523299,88.359,95.0947366726072,112.834425650528,6.43816017360469,65.2920892634512,72.0217435579296,11.5350084628439,88.5053217220432,85.2286,72.1333333333333,103.96972,85.243268,92.1189989331317,106.634971756292,105.863742071431,81.2300296168734,48.8645409703598,14.6666666666667,91.1248083230983,2.58237782297306,0.249270611295834,79.28081,6.49052246276672,78.0096173333333,0.00509105164133862,7.34864979040068,79.8855523333333,1264.60319540421,11.3457742972826
2003Q2,11609.6,88.266796,19653.0075120458,2331569.18086928,89.2917,96.7725407316418,118.803148473457,6.52096403249731,68.0078386282826,73.9598903994324,11.4737125510876,88.5629214632952,86.1211,72.3333333333333,105.409036666667,87.034907,93.185497737291,103.968555313924,107.337667998891,85.5968241532719,50.794132368343,16.5,91.9198728992123,2.84598417819479,1.11478065934895,78.2619900000001,6.57085878350915,78.2034636666667,0.00509258937019686,7.40233236151604,80.381736,1280.48102025655,11.3099430461499
2003Q3,11689.8,88.872568,19859.3284333837,2358178.61395661,90.2167,97.3713647690129,117.511081172107,6.60080738021377,70.7621642014781,76.2664878366733,11.5475916659712,88.4917170015321,85.2562,73.6333333333333,105.453563333333,87.89002,93.5584284198769,102.470970710117,109.201282321653,87.0823819921252,52.6614368239867,8.16666666666667,92.0407644667389,2.95734278615822,1.27466712523826,80.40786,6.64111993739377,78.773158,0.00510236986089023,7.5754716981132,80.8553213333333,1293.67481389561,11.2644119112924
2003Q4,11800.5,89.785391,20029.2924584302,2385405.75151223,91.4485,98.4566067606105,123.486879615975,6.63228212316731,73.9492357247622,78.0947057978423,11.3881673200974,88.4955598131295,87.1817,76.9,106.066736666667,90.58475,95.4438128306155,102.491546008955,110.39314034295,88.9443503811897,55.1965548532023,-1,94.2931338000043,3.09702277276767,1.69080736333952,80.91697,6.66776625682374,79.3128073333333,0.00511714299555454,7.53835268388383,81.3313043333333,1296.09083211648,11.1978082987677
2004Q1,11940.1,90.330865,20121.779639962,2412983.13013511,92.0023,99.5078479904977,122.315254378482,6.64699211470485,76.3806285278414,80.0885312844766,11.2054655179752,88.6261594565791,88.8856,78.6666666666667,106.12876,93.350039,96.7170523025624,102.690396372204,111.108288918835,93.1221664680473,57.7863306579014,7.16666666666667,95.2941243276361,3.34914176767961,1.83147919755922,79.79359,6.67209478735142,79.7922833333333,0.00509595311971116,7.72000254890716,81.8411853333333,1304.36681000739,11.2535374785768
2004Q2,11951.3,91.031379,20282.1529879913,2441424.6830324,93.1005,99.356575233507,121.609838781175,6.75112247195476,79.1417030017013,81.865668654559,11.2455032907419,88.6853422215936,89.5021,81.0666666666667,106.35292,96.095268,98.0330268784889,102.389381998369,112.853983922111,97.0700334087452,60.2531017472621,16.1666666666667,96.177631462468,3.30310975862094,1.13520057418655,80.07447,6.78152035545635,80.68366,0.00512047986545092,7.77537865557425,82.488223,1318.45503729175,11.3101453029147
2004Q3,12058.1,91.948695,20452.7697728631,2470354.45067954,93.9105,100.018717069825,118.984069342618,6.80787730641854,82.2870656245364,83.6005688751485,10.9496027763227,89.1761985608542,89.536,81.6666666666667,106.99119,96.838998,98.7553912713291,101.706797732404,113.810664994214,97.9161010086832,63.1420593068314,14.3333333333333,100.274616031433,3.21980887344319,0.907975982461766,81.28054,6.82201423065859,81.3427573333333,0.00514130801876506,7.89165585545676,83.124203,1324.15278010396,11.2706827581322
2004Q4,12211.2,92.51449,20646.3975991837,2500013.63425451,94.7879,101.102386650994,126.454305507087,6.84775344687753,86.0218015191051,85.2407114182267,10.4620484149603,89.6496797609731,90.4822,83.7,108.033863333333,99.814888,99.8486274794611,101.633124015944,115.729670129063,100.523830163973,65.8911143562084,17.5,100.3393368549,3.49860409619725,0.393779076335997,81.13958,6.86722083093188,82.0302393333333,0.00511434944607832,7.86961546871583,83.64631,1338.92951959479,11.2652877545488
2005Q1,12291.1,93.450151,20878.016176313,2529995.01020108,95.6751,101.776337983269,127.932101155371,6.87734422749059,89.2165291365632,86.8220472619643,9.87971614247319,90.3014979572091,89.1615,84,108.126873333333,99.358581,100.183676358619,101.768974675805,117.498084802439,104.391945594254,69.4094578211677,24.3333333333333,104.429706643464,3.67896088961165,0.346336700200256,80.35539,6.90410076098115,82.415053,0.00512727083687679,7.95935309310048,84.1562336666667,1341.3264963549,11.3833082455751
2005Q2,12464.7,94.402791,21054.1490171816,2561378.03326844,96.8801,102.57901445273,132.847721509695,6.99094404372279,92.8786964874344,87.8700823613167,9.36506111303037,90.8170746780002,92.4769,86.4,108.309053333333,105.103258,103.264278352522,100.961647627024,120.345938833067,106.980672464915,72.5699339309365,19.3333333333333,108.033994382657,3.67783503491103,0.118200276652473,80.35813,7.02059071236505,83.2992626666667,0.00512629598053803,8.06805674452733,84.7044556666667,1363.74178749411,11.42544457981
2005Q3,12676.9,95.298045,21233.9469228587,2593132.77946101,97.4924,103.150484872492,136.919097553416,7.04884744105592,95.7165673710053,89.3224024089972,8.68754411570822,91.0130609566127,91.4438,86.8666666666667,108.505386666667,103.943085,103.507876899243,101.43980523003,122.303447370436,107.392320349183,75.7196738978334,20,108.798231428673,3.98373197214721,-0.227996922586088,81.89724,7.0671152108135,84.114916,0.0051160143122497,8.24056848333282,85.2545186666667,1377.80057107703,11.4423015007051
2005Q4,12767.3,96.294262,21396.0878836467,2625050.71556666,98.7064,103.115274486547,134.057259102323,7.12554682839531,98.8087311803664,90.7374714448313,8.67318862878835,91.2628564081781,91.6723,89.8333333333333,108.862476666667,104.827619,104.271321189753,101.25404452191,123.647258601795,109.463661178094,79.2640762243983,22.1666666666667,109.797305179508,4.0428911454346,-0.188419044503202,81.61176,7.15635547596801,84.9519533333333,0.00512620707277731,8.23064200872049,85.9277786666667,1390.02321350526,11.4227073894701
2006Q1,12941.4,97.337259,21545.7831463227,2658883.05475904,99.5619,103.851351531427,140.945433674794,7.13008408709808,102.119536302572,92.1822913967603,8.63738337197206,91.2731333265417,94.0873,92.2666666666667,109.654083333333,109.000335,106.364398560318,102.675862081759,126.639314175491,112.264362975531,83.300061855327,15.3333333333333,111.926163404907,4.35718495689684,-0.591059592139695,80.92822,7.16564581377077,85.775963,0.00512053421501168,8.2952806873014,86.5604243333333,1392.44926167959,11.1545924654831
2006Q2,12984,98.353692,21703.5712933307,2693266.03397273,100.5378,104.447275023764,136.540303656563,7.25321705189974,105.334935113717,94.8809807815619,8.53720313016641,91.4743660993558,95.5876,93.9,110.345823333333,111.249498,108.497304830129,102.079376023567,129.400989561676,113.893049484468,86.8423342186861,15,115.081051463773,4.31154305763507,0.0765534016384724,81.67504,7.29306694263511,86.5396983333333,0.00514687494112845,8.34515089364196,87.1591686666667,1409.24680215942,11.083029798384
2006Q3,13139.2,99.324723,21854.6806251613,2728064.13113272,101.1083,105.186994427433,142.319186205498,7.35131935762474,108.732543859368,97.9838325832481,8.37297403226576,91.6646984043161,94.6675,94.6666666666667,110.662493333333,110.513794,108.85159560303,100.697418182751,130.659354386957,114.000581708863,90.5795545950292,12.5,116.676853754311,4.51538497828205,0.386122835891152,81.08681,7.38112314065013,87.0621993333333,0.00516286381852866,8.56118896462947,87.7361133333333,1423.88403336189,11.0530055534037
2006Q4,13255.5,100.268099,22015.8649351853,2763555.58510591,102.3101,106.179598107875,149.686053253575,7.41261500385588,112.877464008431,101.912719435195,8.27116946559591,91.7690721697865,98.4123,97.2,110.64003,116.207187,111.53825607846,99.993799158788,132.002513134531,116.160047937054,94.1198528782128,11.5,120.946481291129,5.04329282929433,1.1950458150475,82.53837,7.44628847745183,87.1592493333333,0.00516486460452778,8.48770232129486,88.2116043333333,1435.20025623859,11.3695960122482
2007Q1,13523.5,101.293716,22171.432480325,2798829.65618057,102.9345,106.021401609885,149.472652109714,7.47401406297768,115.807766847525,104.740597338216,8.06171060270506,91.9401023758949,102.4847,98.5666666666667,110.823493333333,119.299182,114.151956033707,100.205997266718,131.925504958767,116.88251327535,97.4604074806962,11.1666666666667,124.305930952335,5.18167313797677,1.61396842986577,81.65743,7.48805590234438,87.8769293333333,0.00514539126194358,8.83323292308575,88.76964,1452.56476767026,11.0931543487317
2007Q2,13570.9,102.115137,22346.7403372786,2834309.51370243,103.869,105.796532881876,146.468092809211,7.57029923288634,117.940756306341,107.073502201669,8.04160414625093,91.888646970696,102.8619,99.3,111.43333,120.929527,115.770906848983,99.7525046150222,134.578894460679,116.999565723497,100.288229734066,18.8333333333333,125.667235783934,5.25240366768163,1.98230649343485,82.23399,7.57491647417848,88.621618,0.00516168369281161,8.86255383474516,89.3818913333333,1466.63369617729,11.40054848793
2007Q3,13612.2,102.94358,22504.0127171845,2869272.35187523,104.3137,106.44540907421,141.199778208866,7.70034151609796,119.078928609892,108.4804755488,8.29390769992876,91.7966097318297,104.4867,100.633333333333,111.861303333333,121.747735,115.929949022108,99.5633065777383,133.115892456757,116.497836757971,103.526862483582,10.5,127.571680890217,5.1024620834566,2.09038140211592,82.80851,7.69338427801077,89.115746,0.00518827009918555,9.09987774713559,90.0005716666667,1484.18285264423,11.4813016336411
2007Q4,13704.8,103.829374,22682.2144652118,2904725.8454815,105.57,106.343019949304,137.345751773677,7.78244763798471,117.828032817912,109.8152172652,8.53070755111538,91.4467109215795,104.5154,102,113.232646666667,123.269366,116.446553812284,100.410348781397,133.983413567256,116.788633249819,104.531445003113,-5.83333333333333,129.617406544418,5.38178448702006,0.398172509466532,81.67664,7.75815455578183,90.582127,0.00520748170624671,9.12560291089612,90.8177496666667,1494.47431157543,11.2085334727906
2008Q1,13899.6,104.303006,22848.3770201438,2938630.87011843,105.8623,106.809290706222,124.215002289007,7.98936803314336,117.169949230141,110.865365096504,9.1180149468614,90.8028771343228,104.533,103.666666666667,114.296486666667,121.626479,115.95892957233,100.603063745753,132.186840242848,117.013064655796,105.022880789795,-17.6666666666667,128.178733840654,4.50576857982239,-0.23292550024371,81.5747,7.98221224859601,91.7254776666667,0.00516988793116267,9.4082774049217,91.7174083333333,1545.36580667167,11.2701299581751
2008Q2,13688.3,104.361193,23015.8341028434,2971565.41245282,104.3347,107.113236311129,116.432769357306,8.10265779386343,115.36458802029,111.267435206565,10.3552314910128,89.7376828550347,105.6419,102.933333333333,115.062106666667,119.634938,116.054080444425,102.822370024181,129.934698764845,114.63394907899,105.686205776144,-14.8333333333333,131.530758683277,4.43065387160829,-0.150122938770701,80.72622,8.09928162519816,92.7499623333333,0.00522100952037901,9.40576496674058,92.4326316666667,1551.93315818264,11.3601665338246
2008Q3,13495.8,103.57271,23158.5214790465,3000580.7760667,102.2268,107.466080969704,107.247795973184,8.21935016447465,113.171185865017,112.194280213213,11.8496985968166,88.1834594009535,105.1453,102.366666666667,114.972186666667,113.532967,113.360693004314,103.545902760553,125.52064424197,112.266324340923,105.758892991384,-23,123.945495656957,3.84606219559268,-0.196325143012033,80.40171,8.21439688221974,93.426701,0.00522991481475871,9.58914707263835,93.0206403333333,1571.60306727747,10.992967246585
