Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1937-04-30,17.01,0.78,1.13,14.3,2.6500000000000004,309.83060769230775,14.207400000000003,20.582515384615384,20.556579457432854
1937-03-31,18.09,0.75,1.11,14.2,2.66,331.82283169014096,13.75716549295775,20.360604929577473,22.042197016050572
1937-02-28,18.11,0.74,1.08,14.1,2.67,334.5456446808511,13.670004255319151,19.950817021276603,22.244221552805158
1937-01-31,17.59,0.73,1.05,14.1,2.68,324.9396957446809,13.485274468085109,19.396627659574474,21.6187415829535
1936-12-31,17.06,0.72,1.02,14.0,2.6774999999999998,317.40008142857147,13.395548571428574,18.977027142857146,21.125663548155437
1936-11-30,17.36,0.683333,0.993333,14.0,2.675,322.98156000000006,12.713361655500004,18.480889512642865,21.499765341024162
1936-10-31,16.89,0.646667,0.966667,14.0,2.6725000000000003,314.2372435714287,12.031193344500002,17.984770487357146,20.913091852533118
1936-09-30,16.05,0.61,0.94,14.0,2.67,298.60910357142865,11.34900642857143,17.488632857142857,19.86202424328763
1936-08-31,15.87,0.59,0.92,14.0,2.6675000000000004,295.2602164285714,10.976907857142859,17.11653428571429,19.623060162983748
1936-07-31,15.56,0.57,0.9,13.9,2.665,291.5753697841727,10.681102877697843,16.864899280575543,19.360464512319133
1936-06-30,14.69,0.55,0.88,13.8,2.6625,277.2673630434783,10.38101086956522,16.60961739130435,18.393001065831342
1936-05-31,14.09,0.533333,0.85,13.7,2.66,267.8838109489052,10.13990607131387,16.16048540145986,17.750192519328643
1936-04-30,14.88,0.516667,0.82,13.7,2.6574999999999998,282.90355620437964,9.823046483430659,15.590115328467155,18.718999665151493
1936-03-31,14.86,0.5,0.79,13.7,2.6550000000000002,282.52330948905114,9.506167883211681,15.019745255474458,18.66047820392602
1936-02-29,14.55,0.49,0.78,13.8,2.6525,274.6249239130435,9.24853695652174,14.72216086956522,18.104536459517785
1936-01-31,13.76,0.48,0.77,13.8,2.65,259.71401739130437,9.059791304347828,14.533415217391306,17.08735984599724
1935-12-31,13.04,0.47,0.76,13.8,2.6616666666666666,246.12433043478262,8.871045652173914,14.344669565217394,16.159192714615322
1935-11-30,13.04,0.46,0.76,13.8,2.6733333333333333,246.12433043478262,8.682300000000001,14.344669565217394,16.12960516325114
1935-10-31,11.92,0.45,0.76,13.7,2.685,226.62704233576648,8.555551094890513,14.449375182481756,14.826232627114088
1935-09-30,11.61,0.44,0.76,13.7,2.6966666666666668,220.73321824817523,8.365427737226279,14.449375182481756,14.41889170270743
1935-08-31,11.37,0.44,0.776667,13.7,2.708333333333333,216.17025766423362,8.365427737226279,14.766253782700733,14.105056846668953
1935-07-31,10.65,0.44,0.793333,13.7,2.72,202.4813759124088,8.365427737226279,15.083113370583945,13.20213793651101
1935-06-30,10.12,0.44,0.81,13.7,2.731666666666667,192.4048379562044,8.365427737226279,15.399991970802926,12.539519324443889
1935-05-31,9.75,0.443333,0.783333,13.8,2.743333333333333,184.02701086956523,8.36771762152174,14.785069795434785,11.985576683480096
1935-04-30,9.04,0.446667,0.756667,13.8,2.755,170.6260695652174,8.430645421956523,14.281760639347828,11.10421020714952
1935-03-31,8.41,0.45,0.73,13.7,2.7666666666666666,159.89374379562048,8.555551094890513,13.879005109489054,10.398272404790031
1935-02-28,8.98,0.45,0.65,13.7,2.7783333333333333,170.7307751824818,8.555551094890513,12.358018248175187,11.087812159055563
1935-01-31,9.26,0.45,0.57,13.6,2.79,177.34874558823532,8.618459558823531,10.916715441176471,11.495907968201596
1934-12-31,9.26,0.45,0.49,13.4,2.8175,179.9957417910448,8.74709328358209,9.524612686567165,11.639337566475884
1934-11-30,9.2,0.4492,0.4858,13.5,2.8449999999999998,177.50480000000002,8.6668648,9.373025200000002,11.448808690205698
1934-10-31,8.95,0.4483,0.4817,13.5,2.8724999999999996,172.68130000000002,8.649500200000002,9.293919800000001,11.108352605351724
1934-09-30,8.88,0.4475,0.4775,13.6,2.9000000000000004,170.0709352941177,8.57057922794118,9.145143198529412,10.909954083288845
1934-08-31,9.1,0.4467,0.4733,13.4,2.9275,176.88566417910448,8.682947932835821,9.199998335820897,11.315025981829047
1934-07-31,9.47,0.4458,0.4692,13.4,2.955,184.07771865671646,8.665453746268657,9.120302597014927,11.741524229318241
1934-06-30,9.94,0.445,0.465,13.4,2.9825,193.21357164179105,8.649903358208958,9.038663059701495,12.287726483952422
1934-05-31,9.81,0.4442,0.4608,13.3,3.0100000000000002,192.12036766917296,8.699272917293234,9.024369563909776,12.181583235024021
1934-04-30,10.92,0.4433,0.4567,13.3,3.0375000000000005,213.85875789473687,8.681647195488724,8.944074609022557,13.518389284490091
1934-03-31,10.74,0.4425,0.4525,13.3,3.065,210.33361353383464,8.665979887218047,8.861821240601506,13.254537629740083
1934-02-28,11.32,0.4417,0.4483,13.3,3.0925,221.69241203007522,8.65031257894737,8.779567872180452,13.926922904274296
1934-01-31,10.54,0.4408,0.4442,13.2,3.12,207.98055000000002,8.698086000000004,8.765176500000003,13.025119828332379
1933-12-31,9.97,0.44,0.44,13.2,3.1358333333333333,196.73302500000005,8.682300000000001,8.682300000000001,12.281801622601114
1933-11-30,9.78,0.445,0.4375,13.2,3.151666666666667,192.98385000000002,8.780962500000003,8.632968750000002,12.011766193389935
